id;addresse;denomination;faxe;logo;sigle;telephone;urlsiteweb;type
1;whiteboard;Savings a;b open-source Dirham;Steel;digital Granite orchid;+33 414651358;Buckinghamshire;EXEMPLE
2;payment;capacitor Yémen;e-enable benchmark b;b;Designer;0712743534;tan b HDD;EXEMPLE
3;disintermediate transmitter Universal;Buckinghamshire;Lats client-driven Diverse;paradigm Salad;Nord-Pas-de-Calais;+33 728638002;Zadkine payment payment;EXEMPLE
4;Executif strategy;intranet SDD Chips;granular b;c a;Car dot-com b;+33 448868264;circuit extend orchid;EXEMPLE
5;pink Car;Loan Robust;Markets empower payment;cyan success;Designer challenge Administrateur;+33 581061966;Havre best-of-breed;EXEMPLE
6;azure;input;Buckinghamshire exuding;sensor payment Cambridgeshire;Savings connect;0348922339;Investment;EXEMPLE
7;SQL Movies copy;Rubber;Borders firmware transmit;SSL;Home Steel;0152317809;Sausages Function-based disintermediate;EXEMPLE
8;Hryvnia;generation;Consultant Exclusive Loire;pink wireless a;optimize;+33 570714788;real-time;EXEMPLE
9;de;capacitor;maximized XSS;Saint-Honoré;deposit;+33 250935718;navigating Argentine;EXEMPLE
10;Marcadet Ukraine withdrawal;Zadkine programming;du generating b;Lombards;Picardie Fresh;0357125065;primary c Bedfordshire;EXEMPLE
