id;code;description;libelle;ordre
1;Poitou-Charentes Île-de-France array;d'Azur;best-of-breed drive;48921
2;interactive EXE;e-business;deliverables Producteur;79175
3;Cambridgeshire Kyat Chips;Consultant;Gold;36590
4;index Computer Team-oriented;c Gorgeous RSS;cultivate;95144
5;Loan;auxiliary card;object-oriented la b;52229
6;Fresh c;Loan national transmitting;Ball Triple-buffered Metal;71978
7;FTP Limousin synthesize;hard Up-sized;Baht;71767
8;indexing invoice invoice;open-source deposit;user-facing synergistic Rustic;66529
9;Managed 3rd system;Streamlined Superviseur Chaussée-d'Antin;Computers payment;60046
10;Specialiste Centre;Extended input b;initiatives array;52947
